Date,Regions,mean_pixel_val
2021-05-02,Sacramento,1.009064793586731
2021-05-02,San Joaquin,0
2021-05-03,Central Delta,NA
2021-05-03,Sacramento,NA
2021-05-03,San Joaquin,NA
2021-05-04,Central Delta,NA
2021-05-04,Sacramento,NA
2021-05-04,San Joaquin,NA
2021-05-05,Central Delta,0
2021-05-05,Sacramento,1.0337666273117065
2021-05-05,San Joaquin,0
2021-05-06,Central Delta,0
2021-05-06,Sacramento,1.1437740325927734
2021-05-06,San Joaquin,0
2021-05-07,Central Delta,NA
2021-05-07,Sacramento,NA
2021-05-07,San Joaquin,NA
2021-05-08,Central Delta,NA
2021-05-08,Sacramento,NA
2021-05-08,San Joaquin,NA
2021-05-09,Central Delta,0
2021-05-09,Sacramento,0.5658316016197205
2021-05-09,San Joaquin,0
2021-05-10,Central Delta,1.3380951881408691
2021-05-10,Sacramento,0.6856168508529663
2021-05-10,San Joaquin,0
2021-05-11,Central Delta,NA
2021-05-11,Sacramento,NA
2021-05-11,San Joaquin,NA
2021-05-12,Central Delta,NA
2021-05-12,Sacramento,NA
2021-05-12,San Joaquin,NA
2021-05-13,Central Delta,0
2021-05-13,Sacramento,0.7098142504692078
2021-05-13,San Joaquin,0
2021-05-14,Central Delta,0
2021-05-14,Sacramento,0
2021-05-14,San Joaquin,0
2021-05-15,Central Delta,NA
2021-05-15,Sacramento,NA
2021-05-15,San Joaquin,NA
2021-05-16,Central Delta,0
2021-05-16,Sacramento,0
2021-05-16,San Joaquin,0
2021-05-17,Central Delta,2.1624999046325684
2021-05-17,Sacramento,0
2021-05-17,San Joaquin,0
2021-05-18,Central Delta,6.901960849761963
2021-05-18,Sacramento,0
2021-05-18,San Joaquin,0
2021-05-19,Central Delta,NA
2021-05-19,Sacramento,NA
2021-05-19,San Joaquin,NA
2021-05-20,Central Delta,0
2021-05-20,Sacramento,0
2021-05-20,San Joaquin,0
2021-05-21,Central Delta,10.165326118469238
2021-05-21,Sacramento,0.15723223984241486
2021-05-21,San Joaquin,0
2021-05-22,Central Delta,13.074257850646973
2021-05-22,Sacramento,0
2021-05-22,San Joaquin,0
2021-05-23,Central Delta,NA
2021-05-23,Sacramento,NA
2021-05-23,San Joaquin,NA
2021-05-24,Central Delta,8.37890625
2021-05-24,Sacramento,0.4007970988750458
2021-05-24,San Joaquin,0
2021-05-25,Central Delta,2.8602523803710937
2021-05-25,Sacramento,0.6773736476898193
2021-05-25,San Joaquin,0
2021-05-26,Central Delta,NA
2021-05-26,Sacramento,NA
2021-05-26,San Joaquin,NA
2021-05-27,Central Delta,NA
2021-05-27,Sacramento,NA
2021-05-27,San Joaquin,NA
2021-05-28,Central Delta,0.8645496368408203
2021-05-28,Sacramento,0
2021-05-28,San Joaquin,0
2021-05-29,Central Delta,0.8185483813285828
