Date,Name,Non_detect,Low,Moderate,High,Very_high,Invalid_or_missing
2021-10-14,Franks Tract,129,0,0,0,0,37
2021-10-14,Mildred Island,20,0,0,0,0,22
2021-10-15,Franks Tract,124,0,0,0,0,42
2021-10-15,Mildred Island,15,0,0,0,0,27
2021-10-18,Franks Tract,98,0,0,0,0,68
2021-10-19,Franks Tract,114,0,0,0,0,52
2021-10-19,Mildred Island,19,0,0,0,0,23
2021-10-26,Franks Tract,104,0,0,0,0,62
2021-10-26,Mildred Island,24,0,0,0,0,18
2021-10-30,Franks Tract,53,0,0,0,0,113
2021-10-30,Mildred Island,24,0,0,0,0,18
