Date,Name,mean_pixel_val
2020-12-02,Franks Tract,0
2020-12-02,Mildred Island,0
2020-12-03,Franks Tract,0
2020-12-03,Mildred Island,NA
2020-12-04,Franks Tract,NA
2020-12-04,Mildred Island,NA
2020-12-05,Franks Tract,0
2020-12-05,Mildred Island,NA
2020-12-06,Franks Tract,0
2020-12-06,Mildred Island,0
2020-12-07,Franks Tract,2.5654635429382324
2020-12-07,Mildred Island,0
2020-12-08,Franks Tract,NA
2020-12-08,Mildred Island,NA
2020-12-09,Franks Tract,0.9088535308837891
2020-12-09,Mildred Island,0
2020-12-10,Franks Tract,0
2020-12-10,Mildred Island,0
2020-12-11,Franks Tract,NA
2020-12-11,Mildred Island,NA
2020-12-12,Franks Tract,NA
2020-12-12,Mildred Island,NA
2020-12-13,Franks Tract,NA
2020-12-13,Mildred Island,NA
2020-12-14,Franks Tract,0
2020-12-14,Mildred Island,0
2020-12-15,Franks Tract,NA
2020-12-15,Mildred Island,NA
2020-12-16,Franks Tract,NA
2020-12-16,Mildred Island,NA
2020-12-17,Franks Tract,0
2020-12-17,Mildred Island,0
2020-12-18,Franks Tract,0
2020-12-18,Mildred Island,0
2020-12-19,Franks Tract,NA
2020-12-19,Mildred Island,NA
2020-12-20,Franks Tract,NA
2020-12-20,Mildred Island,NA
2020-12-21,Franks Tract,NA
2020-12-21,Mildred Island,NA
2020-12-22,Franks Tract,NA
2020-12-22,Mildred Island,NA
2020-12-23,Franks Tract,NA
2020-12-23,Mildred Island,NA
2020-12-24,Franks Tract,NA
2020-12-24,Mildred Island,NA
2020-12-25,Franks Tract,NA
2020-12-25,Mildred Island,NA
2020-12-26,Franks Tract,0
2020-12-26,Mildred Island,NA
2020-12-27,Franks Tract,NA
2020-12-27,Mildred Island,NA
2020-12-28,Franks Tract,NA
2020-12-28,Mildred Island,NA
2020-12-29,Franks Tract,0
2020-12-29,Mildred Island,2.0792293548583984
2020-12-30,Franks Tract,NA
2020-12-30,Mildred Island,NA
2020-12-31,Franks Tract,NA
2020-12-31,Mildred Island,NA
2021-05-01,Franks Tract,0
2021-05-01,Mildred Island,0
2021-05-02,Franks Tract,0
2021-05-02,Mildred Island,0
2021-05-03,Franks Tract,NA
2021-05-03,Mildred Island,NA
2021-05-04,Franks Tract,NA
2021-05-04,Mildred Island,NA
2021-05-05,Franks Tract,0
2021-05-05,Mildred Island,0
2021-05-06,Franks Tract,0
2021-05-06,Mildred Island,0
2021-05-07,Franks Tract,NA
2021-05-07,Mildred Island,NA
2021-05-08,Franks Tract,NA
2021-05-08,Mildred Island,NA
2021-05-09,Franks Tract,0
2021-05-09,Mildred Island,0
2021-05-10,Franks Tract,0
2021-05-10,Mildred Island,0
2021-05-11,Franks Tract,NA
2021-05-11,Mildred Island,NA
2021-05-12,Franks Tract,NA
2021-05-12,Mildred Island,NA
2021-05-13,Franks Tract,0
2021-05-13,Mildred Island,0
2021-05-14,Franks Tract,0
2021-05-14,Mildred Island,0
2021-05-15,Franks Tract,NA
2021-05-15,Mildred Island,NA
2021-05-16,Franks Tract,0
2021-05-16,Mildred Island,NA
2021-05-17,Franks Tract,0
2021-05-17,Mildred Island,0
2021-05-18,Franks Tract,0
2021-05-18,Mildred Island,0
2021-05-19,Franks Tract,NA
2021-05-19,Mildred Island,NA
2021-05-20,Franks Tract,0
2021-05-20,Mildred Island,0
2021-05-21,Franks Tract,0
2021-05-21,Mildred Island,0
2021-05-22,Franks Tract,0
2021-05-22,Mildred Island,0
2021-05-23,Franks Tract,NA
2021-05-23,Mildred Island,NA
2021-05-24,Franks Tract,0
2021-05-24,Mildred Island,0
2021-05-25,Franks Tract,0
2021-05-25,Mildred Island,0
2021-05-26,Franks Tract,NA
2021-05-26,Mildred Island,NA
2021-05-27,Franks Tract,NA
2021-05-27,Mildred Island,NA
2021-05-28,Franks Tract,0
2021-05-28,Mildred Island,0
2021-05-29,Franks Tract,0
2021-05-29,Mildred Island,0
2021-05-30,Franks Tract,NA
2021-05-30,Mildred Island,NA
2021-05-31,Franks Tract,NA
2021-05-31,Mildred Island,NA
2021-06-01,Franks Tract,0
2021-06-01,Mildred Island,0
2021-06-02,Franks Tract,0
2021-06-02,Mildred Island,0
2021-06-03,Franks Tract,NA
2021-06-03,Mildred Island,NA
2021-06-04,Franks Tract,NA
2021-06-04,Mildred Island,NA
2021-06-05,Franks Tract,0
2021-06-05,Mildred Island,0
2021-06-06,Franks Tract,0
2021-06-06,Mildred Island,0
2021-06-07,Franks Tract,NA
2021-06-07,Mildred Island,NA
2021-06-08,Franks Tract,NA
2021-06-08,Mildred Island,NA
2021-06-09,Franks Tract,0
2021-06-09,Mildred Island,0
2021-06-10,Franks Tract,0
2021-06-10,Mildred Island,15.75
2021-06-11,Franks Tract,NA
2021-06-11,Mildred Island,NA
2021-06-12,Franks Tract,0
2021-06-12,Mildred Island,NA
2021-06-13,Franks Tract,0
2021-06-13,Mildred Island,0
2021-06-14,Franks Tract,0
2021-06-14,Mildred Island,0
2021-06-15,Franks Tract,NA
2021-06-15,Mildred Island,NA
2021-06-16,Franks Tract,0
2021-06-16,Mildred Island,NA
2021-06-17,Franks Tract,0
2021-06-17,Mildred Island,0
2021-06-18,Franks Tract,0
2021-06-18,Mildred Island,0
2021-06-19,Franks Tract,NA
2021-06-19,Mildred Island,NA
2021-06-20,Franks Tract,0
2021-06-20,Mildred Island,0
2021-06-21,Franks Tract,0
2021-06-21,Mildred Island,0
2021-06-22,Franks Tract,NA
2021-06-22,Mildred Island,NA
2021-06-23,Franks Tract,NA
2021-06-23,Mildred Island,NA
2021-06-24,Franks Tract,0
2021-06-24,Mildred Island,16.77378273010254
2021-06-25,Franks Tract,0
2021-06-25,Mildred Island,40.266666412353516
2021-06-26,Franks Tract,NA
2021-06-26,Mildred Island,NA
2021-06-27,Franks Tract,NA
2021-06-27,Mildred Island,NA
2021-06-28,Franks Tract,0
2021-06-28,Mildred Island,12
